,time,event_type,stock,attente,perte_magasin,deliv,late_cost,passation_cost,Time_gap,stock_cost,Loss_cost,Total_cost,Cum_cost,mean_cost
0,0.0,0,60,0,0,0,0.0,0,0.0211255329246415,0.0633765987739245,0,0.0633765987739245,0.0633765987739245,inf
1,0.0211255329246415,2,59,0,0,1,0.0,0,0.0346877875957219,0.1023289734073796,0,0.1023289734073796,0.1657055721813041,7.843852875683898
2,0.0558133205203634,2,58,0,0,1,0.0,0,0.04348440448957291,0.12610477301976145,0,0.12610477301976145,0.2918103452010655,5.22832797763034
3,0.0992977250099363,2,57,0,0,1,0.0,0,0.003575608913604894,0.01019048540377395,0,0.01019048540377395,0.30200083060483945,3.0413670663111314
4,0.1028733339235412,2,56,0,0,1,0.0,0,0.006359287733693403,0.01780600565434153,0,0.01780600565434153,0.319806836259181,3.1087437731615837
5,0.1092326216572346,2,55,0,0,1,0.0,0,0.0006866774971472922,0.0018883631171550536,0,0.0018883631171550536,0.32169519937633606,2.945046951136962
6,0.1099192991543819,2,54,0,0,1,0.0,0,0.006651160475459009,0.017958133283739325,0,0.017958133283739325,0.33965333266007536,3.0900245477641874
7,0.1165704596298409,1,53,0,0,1,0.0,0,0.004220212735918397,0.011183563750183752,0,0.011183563750183752,0.3508368964102591,3.0096552550647084
8,0.1207906723657593,1,52,0,0,1,0.0,0,0.0645892109977104,0.16793194859404703,0,0.16793194859404703,0.5187688450043062,4.294775704480326
9,0.1853798833634697,2,51,0,0,1,0.0,0,0.0033675442899885055,0.00858723793947069,0,0.00858723793947069,0.5273560829437769,2.8447319815699905
10,0.1887474276534582,2,50,0,0,1,0.0,0,0.00581625070655209,0.014540626766380224,0,0.014540626766380224,0.5418967097101571,2.871015072613778
11,0.1945636783600103,1,49,0,0,1,0.0,0,0.004439500299677324,0.010876775734209443,0,0.010876775734209443,0.5527734854443666,2.8410929013253123
12,0.1990031786596876,2,48,0,0,1,0.0,0,0.024502641170357997,0.0588063388088592,0,0.0588063388088592,0.6115798242532258,3.073216359518957
13,0.2235058198300456,2,47,0,0,1,0.0,0,0.04301763825827429,0.10109144990694457,0,0.10109144990694457,0.7126712741601704,3.1886027607786116
14,0.2665234580883199,1,46,0,0,1,0.0,0,0.005757178742258118,0.013241511107193672,0,0.013241511107193672,0.725912785267364,2.723635624699169
15,0.272280636830578,2,45,0,0,1,0.0,0,0.012463331841842284,0.02804249664414514,0,0.02804249664414514,0.7539552819115092,2.769037455941625
16,0.2847439686724203,2,44,0,0,1,0.0,0,0.007154598059355477,0.015740115730582052,0,0.015740115730582052,0.7696953976420913,2.7031139631532515
17,0.2918985667317758,2,43,0,0,1,0.0,0,0.025250723322662816,0.05428905514372505,0,0.05428905514372505,0.8239844527858163,2.822845147927608
18,0.3171492900544386,2,42,0,0,1,0.0,0,0.0032132917248082205,0.0067479126220972635,0,0.0067479126220972635,0.8307323654079136,2.619373246162142
19,0.3203625817792468,2,41,0,0,1,0.0,0,0.0016932594195723794,0.003471181810123378,0,0.003471181810123378,0.834203547218037,2.6039356487421
20,0.3220558411988192,2,40,0,0,1,0.0,0,0.03573199444663572,0.07146398889327144,0,0.07146398889327144,0.9056675361113085,2.8121444179992383
21,0.3577878356454549,2,39,0,0,1,0.0,0,0.012386578938020365,0.024153828929139715,0,0.024153828929139715,0.9298213650404482,2.5988065339422057
22,0.3701744145834753,2,38,0,0,1,0.0,0,0.0027671090538319287,0.005257507202280665,0,0.005257507202280665,0.9350788722427289,2.5260494388702983
23,0.3729415236373072,2,37,0,0,1,0.0,0,0.001022696644738308,0.0018919887927658697,0,0.0018919887927658697,0.9369708610354948,2.5123800962070315
24,0.3739642202820455,2,36,0,0,1,0.0,0,0.006715886973198304,0.012088596551756947,0,0.012088596551756947,0.9490594575872517,2.537834921403622
25,0.3806801072552438,2,35,0,0,1,0.0,0,0.0034620775671355686,0.006058635742487245,0,0.006058635742487245,0.955118093329739,2.5089782080189913
26,0.3841421848223794,2,34,0,0,1,0.0,0,0.017952396926152803,0.030519074774459767,0,0.030519074774459767,0.9856371681041988,2.5658134072412278
27,0.4020945817485322,2,33,0,0,1,0.0,0,0.009551371136064801,0.015759762374506922,0,0.015759762374506922,1.0013969304787056,2.4904511921649664
28,0.411645952884597,2,32,0,0,1,0.0,0,0.0025002162914420922,0.004000346066307348,0,0.004000346066307348,1.005397276545013,2.4423834839131078
29,0.4141461691760391,1,31,0,0,1,0.0,0,0.0009822712708283388,0.0015225204697839252,0,0.0015225204697839252,1.006919797014797,2.4313150089450435
30,0.4151284404468674,1,30,0,0,1,0.0,0,0.10792636488285384,0.16188954732428076,0,0.16188954732428076,1.1688093443390777,2.8155366639802035
31,0.5230548053297213,2,29,0,0,1,0.0,0,0.010282208652305891,0.014909202545843544,0,0.014909202545843544,1.1837185468849212,2.2630870318431224
32,0.5333370139820272,1,28,0,0,1,0.0,0,0.028944946576429542,0.04052292520700136,0,0.04052292520700136,1.2242414720919226,2.2954369188656725
33,0.5622819605584567,2,27,0,0,1,0.0,0,0.03433546175669311,0.0463528733715357,0,0.0463528733715357,1.2705943454634583,2.259710313668089
34,0.5966174223151498,2,26,0,0,1,0.0,0,0.04765538765877586,0.061952003956408624,0,0.061952003956408624,1.3325463494198668,2.2335022404290084
35,0.6442728099739257,2,25,0,0,1,0.0,0,0.007262061358021543,0.009077576697526929,0,0.009077576697526929,1.3416239261173937,2.0823848303821646
36,0.6515348713319472,2,24,0,0,1,0.0,0,0.07685940378549305,0.09223128454259168,0,0.09223128454259168,1.4338552106599853,2.200734410007439
