,time,event_type,stock,attente,perte_magasin,deliv
0,0.0,0.0,60.0,0.0,0.0,False
1,0.023218402882563466,2.0,59.0,0.0,,True
2,0.04176876519477658,2.0,58.0,0.0,,True
3,0.0836498127084359,1.0,57.0,0.0,,True
4,0.08544866726138409,2.0,56.0,0.0,,True
5,0.09757781486750401,2.0,55.0,0.0,,True
6,0.13374109313248758,1.0,54.0,0.0,,True
7,0.18930123392821618,2.0,53.0,0.0,,True
8,0.19581429844017995,2.0,52.0,0.0,,True
9,0.20217991044078815,2.0,51.0,0.0,,True
10,0.20218453019238108,2.0,50.0,0.0,,True
11,0.23745135123350625,1.0,49.0,0.0,,True
12,0.24351506153634728,1.0,48.0,0.0,,True
13,0.28915356012897664,2.0,47.0,0.0,,True
14,0.2960441125387265,2.0,46.0,0.0,,True
15,0.30871087208654907,2.0,45.0,0.0,,True
16,0.3126009759066763,2.0,44.0,0.0,,True
17,0.3203827785593102,2.0,43.0,0.0,,True
18,0.3416716088226568,2.0,42.0,0.0,,True
19,0.366558470073618,1.0,41.0,0.0,,True
20,0.378652858835917,2.0,40.0,0.0,,True
21,0.42052362950267175,2.0,39.0,0.0,,True
22,0.43020166141468374,2.0,38.0,0.0,,True
23,0.4388179539398991,2.0,37.0,0.0,,True
24,0.4510335685133285,2.0,36.0,0.0,,True
25,0.4996731357427132,2.0,35.0,0.0,,True
26,0.5172087098779051,1.0,34.0,0.0,,True
27,0.5311560406077657,1.0,33.0,0.0,,True
28,0.53153322567533,2.0,32.0,0.0,,True
29,0.5339985140390325,2.0,31.0,0.0,,True
30,0.5466577771210605,1.0,30.0,0.0,,True
31,0.5687268595444959,1.0,29.0,0.0,,True
32,0.5710515207775535,2.0,28.0,0.0,,True
33,0.5864784286079775,2.0,27.0,0.0,,True
34,0.5980653928991861,2.0,26.0,0.0,,True
35,0.6053077428053515,1.0,25.0,0.0,,True
36,0.614043002561281,2.0,24.0,0.0,,True
37,0.6269264227565012,2.0,23.0,0.0,,True
38,0.6419076939514994,2.0,22.0,0.0,,True
39,0.6504048975921659,2.0,21.0,0.0,,True
40,0.6508048505387403,2.0,20.0,0.0,,True
41,0.6915432517992408,2.0,19.0,0.0,,True
42,0.6933593608305127,2.0,18.0,0.0,,True
43,0.693881817565448,1.0,17.0,0.0,,True
44,0.728840909858912,1.0,16.0,0.0,,True
45,0.7348286520286389,1.0,15.0,0.0,,True
46,0.7818641230650187,2.0,14.0,0.0,,True
47,0.7874913309000294,2.0,13.0,0.0,,True
48,0.7972908790131692,1.0,12.0,0.0,,True
49,0.8034012281839908,2.0,11.0,0.0,,True
50,0.8109828850543395,2.0,10.0,0.0,,True
51,0.8110782018011844,2.0,10.0,1.0,,
52,0.8445186102576612,2.0,10.0,2.0,,
53,0.8503919219815971,1.0,9.0,2.0,,True
54,0.8652995805201815,1.0,8.0,2.0,,True
55,0.884824104050092,1.0,7.0,2.0,,True
56,0.8953031503354515,1.0,6.0,2.0,,True
57,0.9094427097463005,2.0,6.0,3.0,,
58,0.9305677032296221,1.0,5.0,3.0,,True
59,0.9589716858135138,1.0,4.0,3.0,,True
60,0.9866302408286173,2.0,4.0,4.0,,
61,1.0075280154173,2.0,4.0,5.0,,
62,1.0079768403353482,2.0,4.0,6.0,,
63,1.0152397205365014,1.0,3.0,6.0,,True
64,1.0559009713648964,2.0,3.0,7.0,,
65,1.0585490446416421,2.0,3.0,8.0,,
66,1.0876928290224313,2.0,3.0,9.0,,
67,1.0905289871946477,2.0,3.0,10.0,,
68,1.1131143584159442,2.0,3.0,11.0,,
69,1.1309359602817965,2.0,3.0,12.0,,
70,1.1946752011069868,1.0,2.0,12.0,,True
71,1.2025631261053735,1.0,1.0,12.0,,True
72,1.2092609030785126,2.0,1.0,13.0,,
73,1.232630628982487,1.0,1.0,13.0,1.0,
74,1.2637241072627914,2.0,1.0,14.0,,
75,1.3201166025901128,2.0,1.0,15.0,,
76,1.320275887378948,1.0,1.0,15.0,1.0,
77,1.3204683562643273,2.0,1.0,16.0,,
78,1.3216070633142867,1.0,1.0,16.0,1.0,
79,1.3228294748021936,2.0,1.0,17.0,,
80,1.3242429963698434,2.0,1.0,18.0,,
81,1.4049132352267455,2.0,1.0,19.0,,
82,1.4396616644068174,2.0,1.0,20.0,,
83,1.4408273264854035,2.0,1.0,21.0,,
84,1.4443823551163664,1.0,1.0,21.0,1.0,
85,1.4798392610319082,2.0,1.0,22.0,,
86,1.4798835197922908,2.0,1.0,23.0,,
87,1.4825064767716576,1.0,1.0,23.0,1.0,
88,1.498934521266164,2.0,1.0,24.0,,
89,1.506763603828407,1.0,1.0,24.0,1.0,
90,1.51984942248738,2.0,1.0,25.0,,
91,1.553493464058866,1.0,1.0,25.0,1.0,
92,1.5872841084607732,2.0,1.0,26.0,,
93,1.589454090954721,1.0,1.0,26.0,1.0,
94,1.6713049030704479,2.0,1.0,27.0,,
95,1.7124552734166318,1.0,1.0,27.0,1.0,
96,1.715511889627687,2.0,1.0,28.0,,
97,1.7317780354452048,2.0,1.0,29.0,,
98,1.7596884320361794,2.0,1.0,30.0,,
99,1.7913011862559511,2.0,1.0,31.0,,
100,1.8017488733950198,1.0,1.0,31.0,1.0,
101,1.8557154575236736,2.0,1.0,32.0,,
102,1.86438932180964,2.0,1.0,33.0,,
103,1.8743442655812628,2.0,1.0,34.0,,
104,1.8926581050375175,2.0,1.0,35.0,,
105,1.9107300084067294,1.0,1.0,35.0,1.0,
106,1.962818557369554,1.0,1.0,35.0,1.0,
107,2.0026806611590535,1.0,1.0,35.0,1.0,
108,2.0198012790537843,2.0,1.0,36.0,,
109,2.0232184028825633,3.0,145.0,0.0,,True
110,2.0396761476121177,2.0,144.0,0.0,,True
111,2.07139817931437,2.0,143.0,0.0,,True
112,2.074408131739129,2.0,142.0,0.0,,True
113,2.17140320464573,1.0,141.0,0.0,,True
114,2.176493107998575,2.0,140.0,0.0,,True
115,2.1927329662230255,1.0,139.0,0.0,,True
116,2.2351661772175464,1.0,138.0,0.0,,True
117,2.248514208924023,1.0,137.0,0.0,,True
118,2.2680196870834,2.0,136.0,0.0,,True
119,2.3433955880893764,2.0,135.0,0.0,,True
120,2.34527049603399,2.0,134.0,0.0,,True
121,2.3511941346755356,2.0,133.0,0.0,,True
122,2.35625070776584,1.0,132.0,0.0,,True
123,2.4048860579119027,1.0,131.0,0.0,,True
124,2.436186806624614,2.0,130.0,0.0,,True
125,2.444625724102312,2.0,129.0,0.0,,True
126,2.4621074920061954,2.0,128.0,0.0,,True
127,2.4847259249748763,2.0,127.0,0.0,,True
128,2.4978793797177357,1.0,126.0,0.0,,True
129,2.5140784722161515,1.0,125.0,0.0,,True
130,2.548950287642631,2.0,124.0,0.0,,True
131,2.5515780716349563,2.0,123.0,0.0,,True
132,2.5635227596976353,2.0,122.0,0.0,,True
133,2.6077342497521996,2.0,121.0,0.0,,True
134,2.60986553674663,2.0,120.0,0.0,,True
135,2.622393759349661,2.0,119.0,0.0,,True
136,2.630284468710735,2.0,118.0,0.0,,True
137,2.6684596283689297,2.0,117.0,0.0,,True
138,2.67428367013787,1.0,116.0,0.0,,True
139,2.676014301278133,2.0,115.0,0.0,,True
140,2.6763628117002165,2.0,114.0,0.0,,True
141,2.7162857391331423,1.0,113.0,0.0,,True
142,2.74887214440423,2.0,112.0,0.0,,True
143,2.7553843214689695,1.0,111.0,0.0,,True
144,2.7661822688475226,1.0,110.0,0.0,,True
145,2.7722818093258863,2.0,109.0,0.0,,True
146,2.810736495168976,2.0,108.0,0.0,,True
147,2.821418754887732,2.0,107.0,0.0,,True
148,2.9450868378093062,2.0,106.0,0.0,,True
149,2.9712730341575955,2.0,105.0,0.0,,True
150,2.974436090938648,2.0,104.0,0.0,,True
151,2.9949320197922473,1.0,103.0,0.0,,True
152,3.0021417585175945,2.0,102.0,0.0,,True
153,3.050666828361331,1.0,101.0,0.0,,True
154,3.0653847439179405,2.0,100.0,0.0,,True
155,3.0781655738894305,2.0,99.0,0.0,,True
156,3.0945051363556146,2.0,98.0,0.0,,True
157,3.107352941165215,2.0,97.0,0.0,,True
158,3.1235443221772066,1.0,96.0,0.0,,True
159,3.124020191307316,1.0,95.0,0.0,,True
160,3.1258521338845036,2.0,94.0,0.0,,True
161,3.150051325754548,2.0,93.0,0.0,,True
162,3.1686679670423046,2.0,92.0,0.0,,True
163,3.208410992620695,2.0,91.0,0.0,,True
164,3.26725601059224,2.0,90.0,0.0,,True
165,3.314256480017944,1.0,89.0,0.0,,True
166,3.3607081949397726,2.0,88.0,0.0,,True
167,3.3620086483556895,1.0,87.0,0.0,,True
168,3.3650070396025336,1.0,86.0,0.0,,True
169,3.374637163177728,2.0,85.0,0.0,,True
170,3.3955137780067854,1.0,84.0,0.0,,True
171,3.422636749132108,1.0,83.0,0.0,,True
