,K,stock_avg,total_mag,perte_mag,ratio_mag,total_ligne,perte_ligne,ratio_ligne,avg_total_cost,Late costs,Stock costs,Passation costs,Loss costs
0,0.0,67.21160189330128,63595.0,10779.0,0.16949445711140812,127091.0,20.0,0.00015736755553107616,58.69798440645197,3.502956547875686,14185.27088938144,18000.0,215580.0
1,10.0,65.40232717959509,61950.0,4965.0,0.08014527845036319,122915.0,817.0,0.006646869788064923,31.841613200033063,296.7158962374753,13459.390894145617,18000.0,99300.0
2,20.0,64.91585222663483,60179.0,890.0,0.014789212183652105,120623.0,4446.0,0.03685864221582948,12.830080957741323,2719.693456098177,13044.989037439234,18000.0,17800.0
3,30.0,66.72430343454289,59955.0,127.0,0.0021182553581853055,120096.0,10533.0,0.08770483613109513,11.044960363198314,10352.899335623937,13369.926869055458,18000.0,2540.0
4,40.0,68.76012536885715,60089.0,7.0,0.00011649386742997886,119815.0,17155.0,0.1431790677294162,14.329744210996518,25400.71437738278,13743.743170415624,18000.0,140.0
5,50.0,71.54140879983791,60322.0,0.0,0.0,119584.0,24016.0,0.20082954241370082,20.263559263060703,48699.1342225902,14298.244761404885,18000.0,0.0
6,60.0,73.46271850493912,59774.0,0.0,0.0,120141.0,32038.0,0.26666999608793,29.51624145438986,85233.39111671546,14672.782927279486,18000.0,0.0
