,time,event_type,stock,attente,perte_magasin,deliv,Time_gap,passation_cost,stock_cost,Loss_cost,late_cost,Total_cost,Cum_cost,mean_cost
495,10.800790864028402,1.0,132.0,0.0,,True,0.03982139544801733,0,0.2628212099569144,,,0.2628212099569144,565.9586367661115,52.39974034225715
496,10.84061225947642,1.0,131.0,0.0,,True,0.05136030681491732,0,0.3364100096377085,,,0.3364100096377085,566.2950467757491,52.23828998041298
497,10.891972566291336,2.0,130.0,0.0,,True,0.016079707652416175,0,0.10451809974070514,,,0.10451809974070514,566.3995648754899,52.00155999551385
498,10.908052273943753,1.0,129.0,0.0,,True,0.023272299655623385,0,0.15010633277877083,,,0.15010633277877083,566.5496712082687,51.93866484868205
499,10.931324573599376,2.0,128.0,0.0,,True,0.0008677381911557092,0,0.005553524423396539,,,0.005553524423396539,566.5552247326921,51.828597798751616
500,10.932192311790532,2.0,127.0,0.0,,True,0.007467514188164159,0,0.04741871509484242,,,0.04741871509484242,566.6026434477869,51.828821455756646
501,10.939659825978696,1.0,126.0,0.0,,True,0.008764126383095316,0,0.055213996213500496,,,0.055213996213500496,566.6578574440005,51.79848975727227
502,10.948423952361791,2.0,125.0,0.0,,True,0.012799874636192143,0,0.0799992164762009,,,0.0799992164762009,566.7378566604766,51.764332393999055
503,10.961223826997983,1.0,124.0,0.0,,True,0.009389821474291793,0,0.05821689314060912,,,0.05821689314060912,566.7960735536172,51.70919620832605
504,10.970613648472275,1.0,123.0,0.0,,True,0.0005703158688294963,0,0.0035074425933014023,,,0.0035074425933014023,566.7995809962106,51.665257674545934
505,10.971183964341105,1.0,122.0,0.0,,True,0.0022246631554878604,0,0.01357044524847595,,,0.01357044524847595,566.813151441459,51.6638088727464
506,10.973408627496593,2.0,121.0,0.0,,True,0.04079460547364988,0,0.2468073631155818,,,0.2468073631155818,567.0599588045746,51.675826359337925
507,11.014203232970242,2.0,120.0,0.0,,True,0.0049773767712917305,0,0.029864260627750383,,,0.029864260627750383,567.0898230652024,51.487139929255974
508,11.019180609741534,2.0,119.0,0.0,,True,0.0017924794833383828,0,0.010665252925863377,,,0.010665252925863377,567.1004883181282,51.46485100868404
509,11.020973089224873,1.0,118.0,0.0,,True,0.07028969493045523,0,0.41470920008968587,,,0.41470920008968587,567.5151975182179,51.49410972367526
510,11.091262784155328,2.0,117.0,0.0,,True,0.032869729401840075,0,0.19228791700076445,,,0.19228791700076445,567.7074854352186,51.18510817778385
511,11.124132513557168,1.0,116.0,0.0,,True,0.010972903227163044,0,0.06364283871754567,,,0.06364283871754567,567.7711282739361,51.03958691448379
512,11.13510541678433,2.0,115.0,0.0,,True,0.009992711633895368,0,0.05745809189489837,,,0.05745809189489837,567.828586365831,50.99445089311173
513,11.145098128418226,1.0,114.0,0.0,,True,0.0016583122069917522,0,0.009452379579852987,,,0.009452379579852987,567.8380387454109,50.94957731215612
514,11.146756440625218,2.0,113.0,0.0,,True,0.017188111748426493,0,0.0971128313786097,,,0.0971128313786097,567.9351515767895,50.95070970662872
515,11.163944552373644,2.0,112.0,0.0,,True,0.0435286791436873,0,0.2437606032046489,,,0.2437606032046489,568.1789121799942,50.89410015559328
516,11.207473231517332,2.0,111.0,0.0,,True,0.025413404793505734,0,0.14104439660395685,,,0.14104439660395685,568.3199565765982,50.70901753112247
517,11.232886636310838,1.0,110.0,0.0,,True,0.0010074501463641639,0,0.005540975805002901,,,0.005540975805002901,568.3254975524032,50.59478618036295
518,11.233894086457202,2.0,109.0,0.0,,True,0.055031639239469854,0,0.2999224338551107,,,0.2999224338551107,568.6254199862584,50.61694685832524
519,11.288925725696672,2.0,108.0,0.0,,True,0.03574279611023812,0,0.19301109899528585,,,0.19301109899528585,568.8184310852537,50.38729502759221
520,11.32466852180691,2.0,107.0,0.0,,True,0.016666947098119778,0,0.08916816697494082,,,0.08916816697494082,568.9075992522286,50.23613699215422
521,11.34133546890503,2.0,106.0,0.0,,True,0.003521816968605762,0,0.018665629933610543,,,0.018665629933610543,568.9262648821622,50.163957008591176
522,11.344857285873635,1.0,105.0,0.0,,True,0.015031812429885605,0,0.07891701525689943,,,0.07891701525689943,569.0051818974191,50.155340658708134
523,11.35988909830352,2.0,104.0,0.0,,True,0.004611552181188472,0,0.023980071342180054,,,0.023980071342180054,569.0291619687613,50.09108425660069
524,11.36450065048471,2.0,103.0,0.0,,True,0.019103576036670233,0,0.0983834165888517,,,0.0983834165888517,569.1275453853501,50.07941509168519
525,11.38360422652138,2.0,102.0,0.0,,True,0.021637303776689265,0,0.11035024926111527,,,0.11035024926111527,569.2378956346113,50.00506731500801
526,11.405241530298069,2.0,101.0,0.0,,True,0.004653658243986669,0,0.023500974132132684,,,0.023500974132132684,569.2613966087434,49.91226140161068
527,11.409895188542055,2.0,100.0,0.0,,True,0.009413087389775754,0,0.04706543694887877,,,0.04706543694887877,569.3084620456923,49.89602907285233
528,11.419308275931831,2.0,99.0,0.0,,True,0.040907523985744376,0,0.20249224372943467,,,0.20249224372943467,569.5109542894218,49.87263155770693
529,11.460215799917576,2.0,98.0,0.0,,True,0.02855965783021297,0,0.13994232336804358,,,0.13994232336804358,569.6508966127898,49.706821106884114
530,11.488775457747789,2.0,97.0,0.0,,True,0.006004475517528363,0,0.02912170626001256,,,0.02912170626001256,569.6800183190497,49.58579096738021
531,11.494779933265317,1.0,96.0,0.0,,True,0.03294356605559301,0,0.15812911706684646,,,0.15812911706684646,569.8381474361166,49.57364566737233
532,11.52772349932091,1.0,95.0,0.0,,True,0.0410103976952616,0,0.1947993890524926,,,0.1947993890524926,570.0329468251691,49.448874000035595
533,11.568733897016171,2.0,94.0,0.0,,True,0.040964956552452136,0,0.19253529579652504,,,0.19253529579652504,570.2254821209657,49.29022373554977
534,11.609698853568624,2.0,93.0,0.0,,True,0.05326567532608806,0,0.24768539026630948,,,0.24768539026630948,570.473167511232,49.13763696255379
535,11.662964528894712,2.0,92.0,0.0,,True,0.030130917961054493,0,0.13860222262085067,,,0.13860222262085067,570.6117697338528,48.925105475556926
536,11.693095446855766,2.0,91.0,0.0,,True,0.013438307036237163,0,0.061144297014879084,,,0.061144297014879084,570.6729140308677,48.80426373192051
537,11.706533753892003,1.0,90.0,0.0,,True,0.0013830602175932682,0,0.006223770979169707,,,0.006223770979169707,570.6791378018469,48.74877139547105
538,11.707916814109597,2.0,89.0,0.0,,True,0.009039509412668068,0,0.0402258168863729,,,0.0402258168863729,570.7193636187333,48.746448465617775
539,11.716956323522265,2.0,88.0,0.0,,True,0.028893948157501015,0,0.12713337189300447,,,0.12713337189300447,570.8464969906263,48.719691464977885
540,11.745850271679766,1.0,87.0,0.0,,True,0.02202399546318823,0,0.0958043802648688,,,0.0958043802648688,570.9423013708912,48.60800096758267
541,11.767874267142954,2.0,86.0,0.0,,True,0.026908717990854925,0,0.11570748736067617,,,0.11570748736067617,571.0580088582518,48.52686185241638
542,11.794782985133809,2.0,85.0,0.0,,True,0.01738127337190498,0,0.07387041183059617,,,0.07387041183059617,571.1318792700824,48.422415231373
543,11.812164258505714,2.0,84.0,0.0,,True,0.005933590965474522,0,0.024921082054992993,,,0.024921082054992993,571.1568003521375,48.35327276632293
544,11.818097849471188,2.0,83.0,0.0,,True,0.051727792154011354,0,0.21467033743914712,,,0.21467033743914712,571.3714706895767,48.347160259393455
545,11.8698256416252,2.0,82.0,0.0,,True,0.0027774351318097246,0,0.011387484040419872,,,0.011387484040419872,571.382858173617,48.13742639739265
546,11.87260307675701,1.0,81.0,0.0,,True,0.006735890258362076,0,0.027280355546366406,,,0.027280355546366406,571.4101385291634,48.12846305354997
547,11.879338967015372,2.0,80.0,0.0,,True,0.008758478583091645,0,0.03503391433236658,,,0.03503391433236658,571.4451724434958,48.10412212583481
548,11.888097445598463,2.0,79.0,0.0,,True,0.018379083342884073,0,0.07259737920439209,,,0.07259737920439209,571.5177698227002,48.07478845442196
549,11.906476528941347,1.0,78.0,0.0,,True,0.0069387804169362965,0,0.02706124362605156,,,0.02706124362605156,571.5448310663262,48.00285203410589
